user_id,fullname,abstracts,conflicts
11,C Lee,"Endolymphatic hydrops is associated with low-frequency sensorineural hearing loss, with a large body of research dedicated to examining its putative causal role in low-frequency hearing loss. Investigations have been thwarted by the fact that hearing loss is measured in intact ears, but gold standard assessments of endolymphatic hydrops are made postmortem only; and that no objective low-frequency hearing measure has existed. Yet the association of endolymphatic hydrops with low-frequency hearing loss is so strong that it has been established as one of the important defining features for Ménière's disease, rendering it critical to detect endolymphatic hydrops early, regardless of whether it serves a causal role or is the result of other disease mechanisms. We surgically induced endolymphatic hydrops in guinea pigs and employed our recently developed objective neural measure of low-frequency hearing, the Auditory Nerve Overlapped Waveform (ANOW). Hearing loss and endolymphatic hydrops were assessed at various time points after surgery. The ANOW detected low-frequency hearing loss as early as the first day after surgery, well before endolymphatic hydrops was found histologically. The ANOW detected low-frequency hearing loss with perfect sensitivity and specificity in all ears after endolymphatic hydrops developed, where there was a strong linear relationship between degree of endolymphatic hydrops and severity of low-frequency hearing loss. Further, histological data demonstrated that endolymphatic hydrops is seen first in the high-frequency cochlear base, though the ANOW demonstrated that dysfunction begins in the low-frequency apical cochlear half. The results lay the groundwork for future investigations of the causal role of endolymphatic hydrops in low-frequency hearing loss.",C V Valenzuela;S S Goodman;D Kallogjeri;C A Buchman;J T Lichtenhan
12,Devry Mourra,"The role of the dopamine D2 receptor (D2R) in regulating appetitive behavior continues to be controversial. Earlier literature suggests that reduced D2R signaling diminishes motivated behavior while more recent theories suggest that reduced D2R, as has been putatively observed in obesity, facilitates compulsive appetitive behavior and promotes overeating. Using a homecage foraging paradigm with mice, we revisit classic neuroleptic pharmacological studies from the 1970s that led to the 'extinction mimicry' hypothesis: that dopamine blockade reduces reinforcement leading to an extinction-like reduction in a learned, motivated behavior. We complement this with a selective genetic deletion of D2R in indirect pathway medium spiny neurons (iMSNs). Administration of haloperidol shifts foraging strategy toward less effortful, more thrifty pursuit of food without altering consumption or bodyweight. D2R deletion in iMSNs also reduces effort and energy expended toward food pursuit, but without a compensatory shift in foraging strategy, resulting in loss of body weight, an effect more pronounced under conditions of escalating costs as the knockouts fail to adequately increase effort. The selective knockouts exhibit no change in sucrose preference or sucrose reinforcement. These data suggest that striatal D2R regulates effort in response to costs, mediating cost sensitivity and behavioral thrift. In the context of obesity, these data suggest that reduced D2R is more likely to diminish effort and behavioral energy expenditure rather than increase appetitive motivation and consumption, possibly contributing to reduced physical activity commonly observed in obesity.",Federico Gnazzo;Steve Cobos;Jeff A Beeler
13,Yuhang Gong,"GPR40 was utilized as the drug target to the treatment of diabetes, but the function and mechanisms ameliorating the Alzheimer's disease (AD) remain unknown. In present study, the typical APP/PS1 mouse model was applied to explore the function and mechanism of GPR40 in AD. GPR40 agonist GW9508 and antagonist GW1100 were respectively given by i.c.v. injection to activate/inhibit the GPR40 in the brain of APP/PS1 mice which illustrated the function and mechanism of GPR40 in ameliorating AD symptoms. Morris water maze test, step-through test, Y-maze spontaneous alternation test, open field test and new object recognition test were used to test the cognitive function and memory ability of mice, while molecular biology experiments such as Western blot, immunofluorescence, JC-1 were used to detect the corresponding changes of signal pathways. The results revealed that treatment with GW9508 could significantly ameliorate cognitive deficits of APP/PS1 mice, upregulate the expression levels of cAMP, p-CREB and neurotrophic factors in vivo, while GW9508 also ameliorate Aβ1-42-induced neuron damage and downregulate the expression levels of pathological protein such as p-JNK, JNK and apoptosis-related proteins such as IL-6, IL-1β, TNF-α and caspase-3 in vitro. Meanwhile, high-content screening also showed that GW9508 promoted the cellular differentiation of SH-SY5Y cells, while GW1100 reversed the effects of GW9508. These results suggested that GPR40 was an underlying therapeutic target for the treatment of AD and GPR40 agonist could be explored as the emerging AD therapeutic drug.",Jingjing Chen;Yongzeng Jin;Chen Wang;Menglin Zheng;Ling He
14,James Dowsett,"BACKGROUND
The ability to record brain activity in humans during movement, and in real world environments, is an important step towards understanding cognition. Electroencephalography (EEG) is well suited to mobile applications but suffers from the problem of artefacts introduced into the signal during movement. Steady state visually evoked potentials (SSVEPs) give an excellent signal-to-noise ratio and averaging a sufficient number of trials will eventually remove any noise not phase locked to the visual flicker.


NEW METHOD
Here we present a method for producing SSVEPs of real world environments using modified LCD shutter glasses, which are commonly used for 3D TV, by adapting the glass to flicker at neurophysiologically relevant frequencies (alpha band). Participants viewed a room whilst standing and walking. Either the left or right side of the room was illuminated, to test if it is possible to recover the resulting SSVEPs when walking, as well as to probe the effect of walking on neural activity. Additionally, by using a signal generator to produce ""simulated SSVEPs"" on the scalp we can demonstrate that this method is able to accurately recover evoked neural responses during walking.


RESULTS
The amplitude of SSVEPs over right parietal cortex was reduced by walking. Furthermore, the waveform and phase of the SSVEPs is highly preserved between walking and standing, but was sensitive to whether the left or right side of the room was illuminated.


CONCLUSIONS
This method allows probing neural responses during natural movements within real environments, potentially at a wide range of frequencies.",Marianne Dieterich;Paul C J Taylor
15,Peyman Najafi,"In recent years, studying the central mechanism of itch has gained momentum. However, a proper meta-analysis has not been conducted in this domain. In this study, we tried to respond to this need. A systematic search and a meta-analysis were carried out to estimate the central mechanism of itch. The itch matrix comprises the thalamus and the parietal, secondary somatosensory, insular and cingulate cortices. We have shown that the basal ganglia (BG) play an important role in itch reduction. Finally, we explored itch processing in AD patients and observed that the itch matrix in these patients was different. In conclusion, this is the first meta-analysis on the central mechanisms of itch perception and processing. Our study demonstrated that different modalities of itch induction can produce a common pattern of activity in the brain and provided further insights into understanding the underlying nature of itch central perception.",Jean-Luc Carré;Douraied Ben Salem;Emilie Brenaut;Laurent Misery;Olivier Dufor
16,Rafael Guimarães Dos Santos,"Serotoninergic hallucinogens include drugs such as lysergic acid diethylamide (LSD), dimethyltryptamine (DMT) and psilocybin. Recent trials with single/few doses of these compounds show that they induce rapid and sustained antidepressive, anxiolytic, and antiaddictive effects. These effects are also observed in religious groups using the DMT-containing brew ayahuasca. The agonist action of these substances on 5-HT2A receptors expressed in frontal and limbic areas increase glutamatergic transmission and neuroplasticity. These neurochemical effects are associated with acute alterations on self-perception and increases in introspection and positive mood, and with subacute and long-term decreases in psychiatric symptoms, increases in some personality traits such as openness, improvements in emotional processing, and increases in empathy. These are preliminary but promising results that should be further explored in controlled trials with larger sample sizes, especially considering that these compounds could be beneficial in the treatment of treatment-resistant psychiatric disorders.",Jaime Eduardo Cecilio Hallak
17,Nelly Alia-Klein,"This review of the neuroscience of anger is part of The Human Affectome Project, where we attempt to map anger and its components (i.e., physiological, cognitive, experiential) to the neuroscience literature (i.e., genetic markers, functional imaging of human brain networks) and to linguistic expressions used to describe anger feelings. Given the ubiquity of anger in both its normative and chronic states, specific language is used in humans to express states of anger. Following a review of the neuroscience literature, we explore the language that is used to convey angry feelings, as well as metaphors reflecting inner states of anger experience. We then discuss whether these linguistic expressions can be mapped on to the neural circuits during anger experience and to distinct components of anger. We also identify relationships between anger components, brain networks, and other affective research relevant to motivational states of dominance and basic needs for safety.",Gabriela Gan;Gadi Gilam;Jessica Bezek;Antonio Bruno;Thomas F Denson;Talma Hendler;Leroy Lowe;Veronica Mariotti;Maria R Muscatello;Sara Palumbo;Silvia Pellegrini;Pietro Pietrini;Amelia Rizzo;Edelyn Verona
18,Małgorzata Łupina,"Linagliptin is a selective dipeptidyl peptidase-4 (DPP-4) inhibitor which suppresses the rapid degradation of endogenous glucagon-like peptide-1 (GLP-1). In clinical practice, it is used as an antidiabetic drug, but recent studies have confirmed its role in the activity of the central nervous system (CNS). The reported study focused on the role of linagliptin (10 and 20 mg/kg, ip) in the morphine rewarding effect, analyzing how the agent had influenced the conditioned place preference (CPP) in rats via the expression, acquisition, extinction and reinstatement of the morphine rewarding effect. The obtained results clearly demonstrated linagliptin to inhibit the expression and acquisition, to accelerate the extinction and, eventually, to reduce the reinstatement of morphine-induced CPP. The undertaken experiments significantly extended our knowledge on the mechanisms behind the morphine rewarding effect.",Sylwia Talarek;Jolanta Kotlińska;Ewa Gibuła-Tarłowska;Piotr Listos;Joanna Listos
19,Sandra Dörrenbächer,"Cognitive control is supported by a dynamic interplay of transient brain activation across fronto-parietal networks and sustained activation across fronto-striatal networks. Older adults show disturbances in this dynamic functional recruitment. There is evidence suggesting that cognitive-control training may enable older adults to redistribute their brain activation across cortical and subcortical networks, which in turn can limit behavioral impairments. However, previous studies have only focused on spatial rather than on temporal aspects of changes in brain activation. In the present study, we examined training-related functional plasticity in old age by applying a hybrid fMRI design that sensitively tracks the spatio-temporal interactions underlying brain-activation changes. Fifty healthy seniors were assigned to a task-shifting training or an active-control group and their pretest/posttest activation-change maps were compared against 25 untrained younger adults. After training, older adults showed the same performance as untrained young adults. Compared to the control group, task-shifting training promoted proactive changes in transient mechanisms supporting the maintenance and biasing of task-set representations in a specific prefrontal circuitry; reactive changes in transient mechanisms supporting response-selection processes in dissociable fronto-parietal networks; overall reductions of sustained activation in striatal circuits. Results highlight the importance of spatio-temporal interactions in training-induced neural changes in age.",Carolyn Wu;Hubert Zimmer;Jutta Kray
20,Brecht Polspoel,"Only a small amount of studies have looked at the structural neural correlates of children's arithmetic. Furthermore, these studies mainly implemented voxel-based morphometry, which only takes the volume of regions into account, without looking at other structural properties. The current study aimed to contribute knowledge on which brain regions are important for children's arithmetic on a structural level, by not only implementing voxel-based morphometry, but also cortical complexity analyses, based on the fractal dimension index. This complexity measure describes a characteristic of surface shape. Data of 43 typically developing 9-10 year-olds were analyzed. All children were asked to take part in two test sessions: behavioral data collection and MRI data acquisition. For data analysis, mean values for volume and cortical complexity were estimated within regions of interest (ROIs) and extracted for further analysis. The selected ROIs were based on regions found to be related to children's mathematical abilities in previous research. Results point towards associations between arithmetic fluency and the volume of the right fusiform gyrus, as well as the cortical complexity of the left postcentral gyrus, right insular sulcus, and left lateral orbital sulcus. Remarkably, no significant associations were observed between the children's arithmetic fluency and the volume or cortical complexity of typically arithmetic-associated parietal regions, such as the superior parietal lobe, intraparietal sulcus, or angular gyrus. Accordingly, the current study highlights the importance of structural characteristics of brain regions other than these typically arithmetic-associated parietal regions for children's arithmetic fluency.",Maaike Vandermosten;Bert De Smedt
21,Benedito Jamilson Araújo Pereira,"PURPOSE
To evaluate the relationship between meningioma histological subtype and tumor site in under-20 year-olds.


METHODS
A review of the literature on meningioma during the first 2 decades of life was carried out through a Medline search up to February 2019. To evaluate the adult population, a cross-sectional study was conducted on patients operated on between 2000 and 2014 in a single institution. Exclusion criteria comprised: series reports and papers that lacked detailed description of clinical findings, neuroimaging confirmation of tumor location, and/or at least 5 years' follow-up.


RESULTS
107 manuscripts were included, for 365 under-20 year-old patients: 200 male, and 164 female. Histopathology found 197 cases (53.9%) of WHO grade I meningioma, with predominance of meningothelial (41.1%) and transitional (30.9%) subtypes; 123 (33.7%) grade II, and 45 (12.3%) grade III. For 65 (18.25%) of the 356 cases, recurrence was documented, with only 24 deaths (6.7%).


CONCLUSION
Meningioma in this population presented 2 differences compared to the adult population: male predominance, and high incidence of atypical meningioma. Surgery was the primary treatment. Adjuvant radiotherapy is controversial in the literature.",Antônio Nogueira de Almeida;Paulo Henrique Pires de Aguiar;Wellingson Silva Paiva;Manoel Jacobsen Teixeira;Suely Kazue Nagahashi Marie
22,Zhichun Chen,"Parkinson's disease (PD) is a neurodegenerative disease with a 200 year-long research history. Our understanding about its clinical phenotype and pathogenesis remains limited, although dopaminergic replacement therapy has significantly improved patient outcomes. Autonomic dysfunction is an essential category of non-motor phenotypes that has recently become a cutting edge field that directs frontier research in PD. In this review, we initially describe the epidemiology of dysautonomic symptoms in PD. Then, we perform a meticulous analysis of the pathophysiology of autonomic dysfunction in PD and propose that the peripheral autonomic nervous system may be a key route for α-synuclein pathology propagation from the periphery to the central nervous system. In addition, we recommend that constipation, orthostatic hypotension, urinary dysfunction, erectile dysfunction, and pure autonomic failure should be viewed as prodromal dysautonomic markers in PD prediction and diagnosis. Finally, we summarize the strategies currently available for the treatment of autonomic dysfunction in PD and suggest that high-quality, better-designed, randomized clinical trials should be conducted in the future.",Guanglu Li;Jun Liu
23,Nanae Fukushima,"Crush injury to peripheral nerves in adult animals is considered not to trigger retrograde neuronal cell death; however, several studies reported neuronal cell death following severe injuries including nerve transection, resection, or avulsion. However, the rate of neuronal cell death varied among studies. In this study, we evaluated the outcomes of very severe nerve injury by long nerve resection in adult rats. Right hypoglossal (XII) nerve was exposed, and a 9-mm section was resected. At 4, 8, and 12 weeks after the resection, the number of XII neurons were counted in from the rostral to caudal sections. The number of XII neurons in the injured right side was reduced after the XII nerve resection compared with the uninjured left side. The mean rates of surviving neurons at 4, 8, and 12 weeks after the nerve resection were 83.5 %, 73.9 %, and 61.1 %, respectively, which were significantly lower than those of the control. The number of XII neurons after extensive XII nerve resection declined gradually over a relatively long time period, revealing that extensive nerve resection led to slow cell death of the injured neurons.",Tatsuya Kobayashi;Akira Kakegawa;Norimi Sumitomo;Ayata Nagira;Tetsuji Moriizumi
24,Yan-Hai Li,"Medial vestibular nucleus (MVN) neurons are involved in the regulation of eye movements to endure the stability of the image during head movement, and play a critical role in plasticity of the vestibulo-ocular reflex (VOR) during the juvenile period. We have previously shown that the long-term depression (LTD) of synaptic transmission was induced by high frequency stimulation (HFS) and blocked by N-methyl-D-aspartate (NMDA) receptor antagonist D-APV at the vestibular afferent synapses of type-B MVN neurons. In the present study, we used whole-cell patch-clamp recordings in vitro to investigate the subunit composition of these NMDA receptors in the induction of LTD in MVN slices from postnatal 13-16 day rats. We found that LTD induced in type-B neurons of the rat MVN with HFS was blocked by Ro 25-6981, a specific antagonist for GluN2B-containing NMDA receptors. Moreover, the other selective GluN2B-containing NMDA receptor antagonist (ifenprodil) also prevented the induction of LTD. However, bath application of the GluN2A-containing NMDA receptor antagonists (Zn2+ and TCN 201) had no influence on the induction of LTD. Similar results were obtained by exogenously applied two GluN2C/GluN2D-preferring NMDA receptor antagonists (PPDA and UBP 141). Furthermore, presynaptic NMDA receptor subunits are not necessary for vestibular LTD. These results suggest that the induction of LTD by HFS in vestibular afferent synapses of type-B MVN neurons requires postsynaptic GluN2B-containing NMDA receptors, but not GluN2A-containing NMDA receptors or GluN2C/GluN2D-containing NMDA receptors.",Youjun Li;Liang Zheng;Jue Wang
25,Rafael Pazinatto Aguiar,"Pharmacological interventions that selectively activate serotonin 5-hydroxytryptramine-1A (5-HT1A) heteroreceptors may prevent or attenuate the consequences of brain ischemic episodes. The present study investigated whether the preferential 5-HT1A postsynaptic receptor agonist NLX-101 (a.k.a. F15599) mitigates cognitive and emotional impairments and affects neuroplasticity in mice that are subjected to the bilateral common carotid artery occlusion (BCCAO) model of brain ischemia. The selective serotonin reuptake inhibitor escitalopram (Esc) was used for comparative purposes because it is able to decrease morbidity and improve recovery in stroke patients and ischemic rodents. Sham and BCCAO mice received daily doses of NLX-101 (0.32 mg/kg, i.p) or Esc (20 mg/kg, i.p) for 28 days. During this period, they were evaluated for locomotor activity, anxiety- and despair-related behaviors and hippocampus-dependent cognitive function, using the open field, elevated zero maze, forced swim test and object location test, respectivelly. The mice's brains were processed for biochemical and histological analyses. BCCAO mice exhibited high anxiety and despair-like behaviors and performed worse than controls in the cognitive assessment. BCCAO induced neuronal and dendritic spine loss and decreases in the protein levels of neuronal plasticity markers, including brain-derived neurotrophic factor (BDNF), synaptophysin (SYN), and postsynaptic density protein-95 (PSD-95), in prefrontal cortex (PFC) and hippocampus. NLX-101 and Esc attenuated cognitive impairments and despair-like behaviors in BCCAO mice. Only Esc decreased anxiety-like behaviors due to brain ischemia. Both NLX-101 and Esc blocked the increase in plasma corticosterone levels and, restored BDNF, SYN and PSD-95 protein levels in the hippocampus. Moreover, both compounds impacted positively dentritic remodeling in the hippocampus and PFC of ischemic mice. In the PFC, NLX-101 increased the BDNF protein levels, while Esc in turn, attenuated the decrease in the PSD-95 protein levels induced by BCCAO. The present results suggest that activation of post-synaptic 5-HT1A receptors is the molecular mechanism for serotonergic protective effects in BCCAO. Moreover, post-synaptic biased agonists such as NLX-101 might constitute promising therapeutics for treatment of functional and neurodegenerative outcomes of brain ischemia.",Lígia Mendes Soares;Erika Meyer;Fernanda Canova da Silveira;Humberto Milani;Adrian Newman-Tancredi;Mark Varney;Jos Prickaerts;Rúbia M Weffort de Oliveira
26,Manon Meyrel,"Increasing evidence suggest a bidirectional link between disrupted circadian rhythms and alcohol use disorders (AUD). A better understanding of these alcohol-induced changes in circadian rhythms will likely provide important therapeutic solutions. We conducted a systematic review based on the PubMed database examining biological rhythms in all stages of alcohol use: acute alcohol consumption, AUD, alcohol withdrawal, and abstinence. Different changes in circadian rhythms have been observed after a single acute alcohol intake, but also during AUD and alcohol withdrawal. Following a single acute alcohol intake, changes in biological rhythms are dose-dependent, reflected in the melatonin and cortisol secretions, and the core body temperature (CBT) rhythms. These alterations normalize the next morning and appear mostly for acute alcohol intake higher than 0.5 g/kg. These alterations are more severe during AUD and persist over time. In addition, interestingly, opposite patterns of the melatonin physiological ratio between diurnal and nocturnal secretion (N/D ratio < 1) have been observed during AUD and appear to be a marker of chronic daily use. During alcohol withdrawal, circadian rhythms desynchronization correlates with the severity of alcohol withdrawal symptoms and withdrawal complications such as delirium tremens. During abstinence a resynchronization of circadian rhythms of cortisol and CBT appears in most patients about 1 month after alcohol withdrawal. Disruption of melatonin circadian rhythms can persist after 3-12 weeks of abstinence. The circadian genetic vulnerability associated with biological rhythms alterations in alcohol use disorders increases the risk of relapses. Circadian-based interventions could play a critical role in preventing and treating AUD.",Benjamin Rolland;Pierre A Geoffroy
